719024887	20171231	201712	2017	2017.9890	COP	DEPUTY						COP													0	010	010	01	1	0.0	4	1	4	-1.80261415608575	3	Abbeville County, South Carolina, United States	US	USSC	SC001	34.2334	-82.4665	1245666	0								3	Abbeville County, South Carolina, United States	US	USSC		34.2334	-82.4665	1245666	20180101000000	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67505.24
719024888	20171231	201712	2017	2017.9890	LEG	SENATE						LEG			USA	UNITED STATES	USA								0	043	043	04	1	2.8	2	1	2	-2.17821782178218	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20180101000000	http://forum.pafoa.org/external.php?s=ed9c3d72f9c74d592d53498146586fe2&type=RSS2&forumids=11
719024889	20171231	201712	2017	2017.9890	LEG	SENATE						LEG			USALEG	UNITED STATES	USA					LEG			0	043	043	04	1	2.8	2	1	2	-2.17821782178218	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20180101000000	http://forum.pafoa.org/external.php?s=ed9c3d72f9c74d592d53498146586fe2&type=RSS2&forumids=11
719024890	20171231	201712	2017	2017.9890	NGA	NIGERIA	NGA								GOV	PRESIDENT						GOV			1	020	020	02	1	3.0	2	1	2	-2.40963855421687	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	20180101000000	https://blueprint.ng/2018-enough-of-blame-game-asuu-tells-buhari/
719024891	20171231	201712	2017	2017.9890	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	2	1	2	-1.80261415608575	3	Greenwood County, South Carolina, United States	US	USSC	SC047	34.1668	-82.1165	1248003	0								3	Ninety Six, South Carolina, United States	US	USSC		34.1751	-82.024	1249874	20180101000000	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67505.24
719024892	20171231	201712	2017	2017.9890	USA	UNITED STATES	USA								COP	DEPUTY						COP			0	010	010	01	1	0.0	4	1	4	-1.80261415608575	3	Abbeville, South Carolina, United States	US	USSC	SC001	34.1782	-82.379	1244839	3	Abbeville County, South Carolina, United States	US	USSC		34.2334	-82.4665	1245666	3	Abbeville, South Carolina, United States	US	USSC	SC001	34.1782	-82.379	1244839	20180101000000	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67505.24
719024893	20171231	201712	2017	2017.9890	USA	UNITED STATES	USA								COP	DEPUTY						COP			0	010	010	01	1	0.0	6	1	6	-1.80261415608575	3	Abbeville, South Carolina, United States	US	USSC	SC001	34.1782	-82.379	1244839	3	Abbeville County, South Carolina, United States	US	USSC		34.2334	-82.4665	1245666	3	Abbeville County, South Carolina, United States	US	USSC		34.2334	-82.4665	1245666	20180101000000	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67505.24
719024894	20171231	201712	2017	2017.9890	USA	UNITED STATES	USA								COP	DEPUTY						COP			0	010	010	01	1	0.0	2	1	2	-1.80261415608575	3	Abbeville County, South Carolina, United States	US	USSC	SC001	34.2334	-82.4665	1245666	3	Abbeville County, South Carolina, United States	US	USSC		34.2334	-82.4665	1245666	3	Abbeville County, South Carolina, United States	US	USSC		34.2334	-82.4665	1245666	20180101000000	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67505.24
719024895	20171231	201712	2017	2017.9890	USA	UNITED STATES	USA								LAB	EMPLOYEE						LAB			0	010	010	01	1	0.0	2	1	2	-1.80261415608575	3	Abbeville County, South Carolina, United States	US	USSC	SC001	34.2334	-82.4665	1245666	3	Abbeville County, South Carolina, United States	US	USSC		34.2334	-82.4665	1245666	3	Ninety Six, South Carolina, United States	US	USSC		34.1751	-82.024	1249874	20180101000000	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67505.24
719024896	20171231	201712	2017	2017.9890	USA	UNITED STATES	USA								LEG	SENATE						LEG			0	042	042	04	1	1.9	2	1	2	-2.17821782178218	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20180101000000	http://forum.pafoa.org/external.php?s=ed9c3d72f9c74d592d53498146586fe2&type=RSS2&forumids=11
